sale_date,country_norm_mapped,exchange_rate,inflation_rate,gdp_per_capita,season_factor
2020-01-14,taiwan,29.5,-0.2,28371.0,0.8
2020-01-14,china,6.900767269,2.419421895,10627.4638,0.8
2020-01-14,colombia,3693.275833,2.526635001,5339.687114,0.8
2020-01-14,germany,0.875506397,0.144877926,47379.76519,0.8
2020-01-14,"korea, rep.",1180.265833,0.537288023,31721.29891,0.8
2020-01-14,united kingdom,0.779999577,0.989486704,40404.80622,0.8
2020-01-14,italy,0.875506397,-0.137707574,32091.48666,0.8
2020-01-14,spain,0.875506397,-0.322753017,27233.94265,0.8
2020-01-15,united kingdom,0.779999577,0.989486704,40404.80622,0.8
2020-01-15,mexico,21.48560833,3.396834156,8841.270751,0.8
2020-01-15,singapore,1.379741667,-0.172111866,61410.07926,0.8
2020-01-15,united states,1.0,1.233584396,64401.50744,0.8
2020-01-15,netherlands,0.875506397,1.272460378,53467.92774,0.8
2020-01-15,australia,1.453085118,0.846905537,51791.54018,0.8
2020-01-15,germany,0.875506397,0.144877926,47379.76519,0.8
2020-01-15,japan,106.7745823,-0.024995834,40028.73417,0.8
2020-01-15,italy,0.875506397,-0.137707574,32091.48666,0.8
2020-01-15,"korea, rep.",1180.265833,0.537288023,31721.29891,0.8
2020-01-15,china,6.900767269,2.419421895,10627.4638,0.8
2020-01-15,canada,1.341152672,0.716999632,43537.8393,0.8
2020-01-15,united arab emirates,3.6725,-2.079403179,37173.87541,0.8
2020-01-15,france,0.875506397,0.476498853,39169.8606,0.8
2020-01-15,spain,0.875506397,-0.322753017,27233.94265,0.8
2020-01-15,thailand,31.29367321,-0.845937147,6985.643939,0.8
2020-01-15,colombia,3693.275833,2.526635001,5339.687114,0.8
2020-01-15,austria,0.875506397,1.381910634,48716.40989,0.8
2020-01-15,taiwan,29.5,-0.2,28371.0,0.8
2020-01-16,japan,106.7745823,-0.024995834,40028.73417,0.8
2020-01-16,united arab emirates,3.6725,-2.079403179,37173.87541,0.8
2020-01-16,"korea, rep.",1180.265833,0.537288023,31721.29891,0.8
2020-01-16,mexico,21.48560833,3.396834156,8841.270751,0.8
2020-01-16,united kingdom,0.779999577,0.989486704,40404.80622,0.8
2020-01-16,canada,1.341152672,0.716999632,43537.8393,0.8
2020-01-16,australia,1.453085118,0.846905537,51791.54018,0.8
2020-01-16,france,0.875506397,0.476498853,39169.8606,0.8
2020-01-16,china,6.900767269,2.419421895,10627.4638,0.8
2020-01-16,united states,1.0,1.233584396,64401.50744,0.8
2020-01-16,thailand,31.29367321,-0.845937147,6985.643939,0.8
2020-01-16,germany,0.875506397,0.144877926,47379.76519,0.8
2020-01-16,spain,0.875506397,-0.322753017,27233.94265,0.8
2020-01-16,italy,0.875506397,-0.137707574,32091.48666,0.8
2020-01-16,austria,0.875506397,1.381910634,48716.40989,0.8
2020-01-16,singapore,1.379741667,-0.172111866,61410.07926,0.8
2020-01-16,colombia,3693.275833,2.526635001,5339.687114,0.8
2020-01-16,taiwan,29.5,-0.2,28371.0,0.8
2020-01-16,netherlands,0.875506397,1.272460378,53467.92774,0.8
2020-01-17,united states,1.0,1.233584396,64401.50744,0.8
2020-01-17,singapore,1.379741667,-0.172111866,61410.07926,0.8
2020-01-17,australia,1.453085118,0.846905537,51791.54018,0.8
2020-01-17,china,6.900767269,2.419421895,10627.4638,0.8
2020-01-17,canada,1.341152672,0.716999632,43537.8393,0.8
2020-01-17,spain,0.875506397,-0.322753017,27233.94265,0.8
2020-01-17,colombia,3693.275833,2.526635001,5339.687114,0.8
2020-01-17,italy,0.875506397,-0.137707574,32091.48666,0.8
2020-01-17,"korea, rep.",1180.265833,0.537288023,31721.29891,0.8
2020-01-17,japan,106.7745823,-0.024995834,40028.73417,0.8
2020-01-17,united arab emirates,3.6725,-2.079403179,37173.87541,0.8
2020-01-17,france,0.875506397,0.476498853,39169.8606,0.8
2020-01-17,netherlands,0.875506397,1.272460378,53467.92774,0.8
2020-01-17,thailand,31.29367321,-0.845937147,6985.643939,0.8
2020-01-17,united kingdom,0.779999577,0.989486704,40404.80622,0.8
2020-01-17,mexico,21.48560833,3.396834156,8841.270751,0.8
2020-01-17,taiwan,29.5,-0.2,28371.0,0.8
2020-01-17,austria,0.875506397,1.381910634,48716.40989,0.8
2020-01-17,germany,0.875506397,0.144877926,47379.76519,0.8
2020-01-18,united states,1.0,1.233584396,64401.50744,0.8
2020-01-18,japan,106.7745823,-0.024995834,40028.73417,0.8
2020-01-18,china,6.900767269,2.419421895,10627.4638,0.8
2020-01-18,taiwan,29.5,-0.2,28371.0,0.8
2020-01-18,spain,0.875506397,-0.322753017,27233.94265,0.8
2020-01-18,mexico,21.48560833,3.396834156,8841.270751,0.8
2020-01-18,germany,0.875506397,0.144877926,47379.76519,0.8
2020-01-18,austria,0.875506397,1.381910634,48716.40989,0.8
2020-01-18,canada,1.341152672,0.716999632,43537.8393,0.8
2020-01-18,australia,1.453085118,0.846905537,51791.54018,0.8
2020-01-18,singapore,1.379741667,-0.172111866,61410.07926,0.8
2020-01-18,"korea, rep.",1180.265833,0.537288023,31721.29891,0.8
2020-01-18,italy,0.875506397,-0.137707574,32091.48666,0.8
2020-01-18,thailand,31.29367321,-0.845937147,6985.643939,0.8
2020-01-18,united kingdom,0.779999577,0.989486704,40404.80622,0.8
2020-01-18,france,0.875506397,0.476498853,39169.8606,0.8
2020-01-18,netherlands,0.875506397,1.272460378,53467.92774,0.8
2020-01-18,united arab emirates,3.6725,-2.079403179,37173.87541,0.8
2020-01-18,colombia,3693.275833,2.526635001,5339.687114,0.8
2020-01-19,colombia,3693.275833,2.526635001,5339.687114,0.8
2020-01-19,mexico,21.48560833,3.396834156,8841.270751,0.8
2020-01-19,canada,1.341152672,0.716999632,43537.8393,0.8
2020-01-19,united states,1.0,1.233584396,64401.50744,0.8
2020-01-19,united arab emirates,3.6725,-2.079403179,37173.87541,0.8
2020-01-19,singapore,1.379741667,-0.172111866,61410.07926,0.8
2020-01-19,italy,0.875506397,-0.137707574,32091.48666,0.8
2020-01-19,china,6.900767269,2.419421895,10627.4638,0.8
2020-01-19,thailand,31.29367321,-0.845937147,6985.643939,0.8
2020-01-19,japan,106.7745823,-0.024995834,40028.73417,0.8
2020-01-19,united kingdom,0.779999577,0.989486704,40404.80622,0.8
2020-01-19,taiwan,29.5,-0.2,28371.0,0.8
2020-01-19,france,0.875506397,0.476498853,39169.8606,0.8
2020-01-19,australia,1.453085118,0.846905537,51791.54018,0.8
2020-01-19,"korea, rep.",1180.265833,0.537288023,31721.29891,0.8
2020-01-19,netherlands,0.875506397,1.272460378,53467.92774,0.8
2020-01-19,germany,0.875506397,0.144877926,47379.76519,0.8
2020-01-19,austria,0.875506397,1.381910634,48716.40989,0.8
2020-01-19,spain,0.875506397,-0.322753017,27233.94265,0.8
2020-01-20,united states,1.0,1.233584396,64401.50744,0.8
2020-01-20,united arab emirates,3.6725,-2.079403179,37173.87541,0.8
2020-01-20,france,0.875506397,0.476498853,39169.8606,0.8
2020-01-20,austria,0.875506397,1.381910634,48716.40989,0.8
2020-01-20,japan,106.7745823,-0.024995834,40028.73417,0.8
2020-01-20,germany,0.875506397,0.144877926,47379.76519,0.8
2020-01-20,singapore,1.379741667,-0.172111866,61410.07926,0.8
2020-01-20,australia,1.453085118,0.846905537,51791.54018,0.8
2020-01-20,mexico,21.48560833,3.396834156,8841.270751,0.8
2020-01-20,united kingdom,0.779999577,0.989486704,40404.80622,0.8
2020-01-20,canada,1.341152672,0.716999632,43537.8393,0.8
2020-01-20,spain,0.875506397,-0.322753017,27233.94265,0.8
2020-01-20,china,6.900767269,2.419421895,10627.4638,0.8
2020-01-20,italy,0.875506397,-0.137707574,32091.48666,0.8
2020-01-20,taiwan,29.5,-0.2,28371.0,0.8
2020-01-20,"korea, rep.",1180.265833,0.537288023,31721.29891,0.8
2020-01-20,colombia,3693.275833,2.526635001,5339.687114,0.8
2020-01-20,thailand,31.29367321,-0.845937147,6985.643939,0.8
2020-01-20,netherlands,0.875506397,1.272460378,53467.92774,0.8
2020-01-21,united states,1.0,1.233584396,64401.50744,0.8
2020-01-21,china,6.900767269,2.419421895,10627.4638,0.8
2020-01-21,france,0.875506397,0.476498853,39169.8606,0.8
2020-01-21,germany,0.875506397,0.144877926,47379.76519,0.8
2020-01-21,united kingdom,0.779999577,0.989486704,40404.80622,0.8
2020-01-21,japan,106.7745823,-0.024995834,40028.73417,0.8
2020-01-21,thailand,31.29367321,-0.845937147,6985.643939,0.8
2020-01-21,australia,1.453085118,0.846905537,51791.54018,0.8
2020-01-21,italy,0.875506397,-0.137707574,32091.48666,0.8
2020-01-21,united arab emirates,3.6725,-2.079403179,37173.87541,0.8
2020-01-21,singapore,1.379741667,-0.172111866,61410.07926,0.8
2020-01-21,"korea, rep.",1180.265833,0.537288023,31721.29891,0.8
2020-01-21,mexico,21.48560833,3.396834156,8841.270751,0.8
2020-01-21,canada,1.341152672,0.716999632,43537.8393,0.8
2020-01-21,colombia,3693.275833,2.526635001,5339.687114,0.8
2020-01-21,spain,0.875506397,-0.322753017,27233.94265,0.8
2020-01-21,austria,0.875506397,1.381910634,48716.40989,0.8
2020-01-21,netherlands,0.875506397,1.272460378,53467.92774,0.8
2020-01-21,taiwan,29.5,-0.2,28371.0,0.8
2020-01-22,"korea, rep.",1180.265833,0.537288023,31721.29891,0.8
2020-01-22,france,0.875506397,0.476498853,39169.8606,0.8
2020-01-22,united arab emirates,3.6725,-2.079403179,37173.87541,0.8
2020-01-22,united states,1.0,1.233584396,64401.50744,0.8
2020-01-22,singapore,1.379741667,-0.172111866,61410.07926,0.8
2020-01-22,united kingdom,0.779999577,0.989486704,40404.80622,0.8
2020-01-22,germany,0.875506397,0.144877926,47379.76519,0.8
2020-01-22,australia,1.453085118,0.846905537,51791.54018,0.8
2020-01-22,japan,106.7745823,-0.024995834,40028.73417,0.8
2020-01-22,netherlands,0.875506397,1.272460378,53467.92774,0.8
2020-01-22,thailand,31.29367321,-0.845937147,6985.643939,0.8
2020-01-22,canada,1.341152672,0.716999632,43537.8393,0.8
2020-01-22,mexico,21.48560833,3.396834156,8841.270751,0.8
2020-01-22,china,6.900767269,2.419421895,10627.4638,0.8
2020-01-22,spain,0.875506397,-0.322753017,27233.94265,0.8
2020-01-22,italy,0.875506397,-0.137707574,32091.48666,0.8
2020-01-22,taiwan,29.5,-0.2,28371.0,0.8
2020-01-22,colombia,3693.275833,2.526635001,5339.687114,0.8
2020-01-22,austria,0.875506397,1.381910634,48716.40989,0.8
2020-01-23,mexico,21.48560833,3.396834156,8841.270751,0.8
2020-01-23,canada,1.341152672,0.716999632,43537.8393,0.8
